Row,Handle,Title,Status,Shopify ID,Error
1,alien-og,Alien OG,new,1000422605171,
2,banana-punch,Banana Punch,new,1000422637939,
3,black-diamond,Black Diamond,new,1000422670707,
4,blood-orange,Blood Orange,new,1000422703475,
5,blue-zkittlez,Blue Zkittlez,new,1000422736243,
6,bomb-pop,Bomb Pop,new,1000422769011,
7,borealis,Borealis,new,1000422801779,
8,butter-pecan,Butter Pecan,new,1000422834547,
9,cactus-cooler,Cactus Cooler,new,1000422867315,
10,candy-kush,Candy Kush,new,1000422900083,
11,cap-junky,Cap Junky,new,1000422932851,
12,chocolate-diesel,Chocolate Diesel,new,1000422965619,
13,citrus-sap,Citrus Sap,new,1000422998387,
14,cookie-monster,Cookie Monster,new,1000423031155,
15,crunch-berries,Crunch Berries,new,1000423063923,
16,crystal-coma,Crystal Coma,new,1000423096691,
17,dosi-cake,Dosi Cake,new,1000423129459,
18,dosidos-face,Dosidos Face,new,1000423162227,
19,dream-queen,Dream Queen,new,1000423194995,
20,dutch-treat,Dutch Treat,new,1000423227763,
21,electric-lemonade,Electric Lemonade,new,1000423260531,
22,face-off-og,Face Off OG,new,1000423293299,
23,fatso-og,Fatso OG,new,1000423326067,
24,fizzy-pop,Fizzy Pop,new,1000423358835,
25,florida-man,Florida Man,new,1000423391603,
26,forbidden-runtz,Forbidden Runtz,new,1000423424371,
27,forum-cut-cookies,Forum Cut Cookies,new,1000423457139,
28,frosty-gelato,Frosty Gelato,new,1000423489907,
29,fruit-punch,Fruit Punch,new,1000423522675,
30,garlic-breath,Garlic Breath,new,1000423588211,
31,gelato-33,Gelato 33,new,1000423620979,
32,gelato-41,Gelato 41,new,1000423653747,
33,grape-cake,Grape Cake,new,1000423686515,
34,grape-gas,Grape Gas,new,1000423719283,
35,grape-zkittlez,Grape Zkittlez,new,1000423752051,
36,grapefruit,Grapefruit,new,1000423784819,
37,grapefruit-diesel,Grapefruit Diesel,new,1000423850355,
38,grease-bucket,Grease Bucket,new,1000423883123,
39,green-ribbon,Green Ribbon,new,1000423915891,
40,guava,Guava,new,1000423948659,
41,hawaiian-snow,Hawaiian Snow,new,1000423981427,
42,honey-bun,Honey Bun,new,1000424014195,
43,horchata,Horchata,new,1000424046963,
44,hot-cakes,Hot Cakes,new,1000424079731,
45,huckleberry,Huckleberry,new,1000424112499,
46,ice,Ice,new,1000424145267,
47,ice-cream-sundae,Ice Cream Sundae,new,1000424178035,
48,island-sweet-skunk,Island Sweet Skunk,new,1000424210803,
49,jelly-rancher,Jelly Rancher,new,1000424243571,
50,jetlato,Jetlato,new,1000424276339,
51,jokerz,Jokerz,new,1000424309107,
52,key-lime-pie,Key Lime Pie,new,1000424341875,
53,king-tut,King Tut,new,1000424374643,
54,kryptonite,Kryptonite,new,1000424407411,
55,la-kush-cake,LA Kush Cake,new,1000424440179,
56,lato-pop,Lato Pop,new,1000424472947,
57,lavender,Lavender,new,1000424505715,
58,lemon-cello,Lemon Cello,new,1000424538483,
59,lemon-drizzle,Lemon Drizzle,new,1000424571251,
60,lemon-meringue,Lemon Meringue,new,1000424604019,
61,lemon-og,Lemon OG,new,1000424636787,
62,lemonade,Lemonade,new,1000424669555,
63,limoncello,Limoncello,new,1000424702323,
64,liquid-butter,Liquid Butter,new,1000424735091,
65,london-jelly,London Jelly,new,1000424767859,
66,lucky-charms,Lucky Charms,new,1000424800627,
67,mandarin-cookies,Mandarin Cookies,new,1000424833395,
68,mango-haze,Mango Haze,new,1000424866163,
69,maple-leaf,Maple Leaf,new,1000424898931,
70,marshmallow-og,Marshmallow OG,new,1000424931699,
71,mendo-breath,Mendo Breath,new,1000424964467,
72,melonade,Melonade,new,1000424997235,
73,miracle-whip,Miracle Whip,new,1000425030003,
74,modified-grapes,Modified Grapes,new,1000425062771,
75,moon-rocks,Moon Rocks,new,1000425095539,
76,mother-of-berries,Mother of Berries,new,1000425128307,
77,nerdz,Nerdz,new,1000425161075,
78,obama-runtz,Obama Runtz,new,1000425193843,
79,og-skywalker,OG Skywalker,new,1000425226611,
80,orange-push-pop,Orange Push Pop,new,1000425259379,
81,oreo-cookies,Oreo Cookies,new,1000425292147,
82,pancakes,Pancakes,new,1000425324915,
83,paradise-waits,Paradise Waits,new,1000425357683,
84,peach-crescendo,Peach Crescendo,new,1000425390451,
85,peach-ringz,Peach Ringz,new,1000425423219,
86,peppermint-cookies,Peppermint Cookies,new,1000425455987,
87,pink-certz,Pink Certz,new,1000425488755,
88,pink-lemonade,Pink Lemonade,new,1000425521523,
89,platinum-cookies,Platinum Cookies,new,1000425554291,
90,plum-crazy,Plum Crazy,new,1000425587059,
91,polaris,Polaris,new,1000425619827,
92,pop-tartz,Pop Tartz,new,1000425652595,
93,pound-cake,Pound Cake,new,1000425685363,
94,project-4516,Project 4516,new,1000425718131,
95,pumpkin-spice,Pumpkin Spice,new,1000425750899,
96,purple-cream,Purple Cream,new,1000425783667,
97,purple-gelato,Purple Gelato,new,1000425816435,
98,purple-lemonade,Purple Lemonade,new,1000425849203,
99,purple-og,Purple OG,new,1000425881971,
100,purple-trainwreck,Purple Trainwreck,new,1000425914739,
101,rainbow-chip,Rainbow Chip,new,1000425947507,
102,rainbow-runtz,Rainbow Runtz,new,1000425980275,
103,raspberry-cough,Raspberry Cough,new,1000426013043,
104,red-velvet,Red Velvet,new,1000426045811,
105,root-beer-float,Root Beer Float,new,1000426078579,
106,rosetta-stone,Rosetta Stone,new,1000426111347,
107,rs11,RS11,new,1000426144115,
108,runtz-muffin,Runtz Muffin,new,1000426176883,
109,sativa-rose,Sativa Rose,new,1000426209651,
110,sherb-cake,Sherb Cake,new,1000426242419,
111,sherbacio,Sherbacio,new,1000426275187,
112,silver-haze,Silver Haze,new,1000426307955,
113,skywalker,Skywalker,new,1000426340723,
114,slurmint,Slurmint,new,1000426373491,
115,sour-apple,Sour Apple,new,1000426406259,
116,sour-banana-sherbet,Sour Banana Sherbet,new,1000426439027,
117,sour-cookies,Sour Cookies,new,1000426471795,
118,sour-patch-kids,Sour Patch Kids,new,1000426504563,
119,sour-strawberry,Sour Strawberry,new,1000426537331,
120,space-cake,Space Cake,new,1000426570099,
121,stardawg,Stardawg,new,1000426602867,
122,strawberry-cheesecake,Strawberry Cheesecake,new,1000426635635,
123,strawberry-gelato,Strawberry Gelato,new,1000426668403,
124,strawberry-lemonade,Strawberry Lemonade,new,1000426701171,
125,sundae-gelato,Sundae Gelato,new,1000426733939,
126,sunset-mac,Sunset MAC,new,1000426766707,
127,super-boof,Super Boof,new,1000426799475,
128,sweet-tea,Sweet Tea,new,1000426832243,
129,tangerine-dream,Tangerine Dream,new,1000426865011,
130,terp-town,Terp Town,new,1000426897779,
131,the-soap,The Soap,new,1000426930547,
132,tk-lato,TK Lato,new,1000426963315,
133,toffee,Toffee,new,1000426996083,
134,triangle-kush,Triangle Kush,new,1000427028851,
135,trophy-wife,Trophy Wife,new,1000427061619,
136,tropicana-cookies,Tropicana Cookies,new,1000427094387,
137,truffle-cake,Truffle Cake,new,1000427127155,
138,tuna-kush,Tuna Kush,new,1000427159923,
139,vanilla-frosting,Vanilla Frosting,new,1000427192691,
140,velvet-glove,Velvet Glove,new,1000427225459,
141,violet-fog,Violet Fog,new,1000427258227,
142,waffle-cone,Waffle Cone,new,1000427290995,
143,watermelon-gelato,Watermelon Gelato,new,1000427323763,
144,watermelon-gushers,Watermelon Gushers,new,1000427356531,
145,white-cherry-gelato,White Cherry Gelato,new,1000427389299,
146,white-fire-og,White Fire OG,new,1000427422067,
147,white-gummy-bear,White Gummy Bear,new,1000427454835,
148,white-papaya,White Papaya,new,1000427487603,
149,wizard-punch,Wizard Punch,new,1000427520371,
150,wonder-bread,Wonder Bread,new,1000427553139,
151,z-cube,Z Cube,new,1000427585907,
152,zaza,Zaza,new,1000427618675,
153,zero-gravity,Zero Gravity,new,1000427651443,
154,zig-zag,Zig Zag,new,1000427684211,
155,zookies,Zookies,new,1000427716979,
156,zushi,Zushi,new,1000427749747,
157,apples-and-bananas,Apples and Bananas,new,1000427782515,
158,back-pack-boyz,Back Pack Boyz,new,1000427815283,
159,bazookaz,Bazookaz,new,1000427848051,
160,berry-pie,Berry Pie,new,1000427880819,
161,black-cherry-punch,Black Cherry Punch,new,1000427913587,
162,blueberry-diesel,Blueberry Diesel,new,1000427946355,
163,bonkers,Bonkers,new,1000427979123,
164,brain-freeze,Brain Freeze,new,1000428011891,
165,butterscotch,Butterscotch,new,1000428044659,
166,candy-chrome,Candy Chrome,new,1000428077427,
167,caribbean-breeze,Caribbean Breeze,new,1000428110195,
168,cherry-diesel,Cherry Diesel,new,1000428142963,
169,cherry-garcia,Cherry Garcia,new,1000428175731,
170,chimera,Chimera,new,1000428208499,
171,chiquita-banana,Chiquita Banana,new,1000428241267,
172,churro,Churro,new,1000428274035,
173,citrus-skunk,Citrus Skunk,new,1000428306803,
174,clockwork-orange,Clockwork Orange,new,1000428339571,
175,creme-brulee,Creme Brulee,new,1000428372339,
176,dark-star,Dark Star,new,1000428405107,
177,devil-driver,Devil Driver,new,1000428437875,
178,dirty-banana,Dirty Banana,new,1000428470643,
179,dulce-de-leche,Dulce De Leche,new,1000428503411,
180,electric-punch,Electric Punch,new,1000428536179,
181,florida-cake,Florida Cake,new,1000428568947,
182,fruity-pebbles,Fruity Pebbles,new,1000428601715,
183,galaxy-brain,Galaxy Brain,new,1000428634483,
184,gelato-cake,Gelato Cake,new,1000428667251,
185,goji-og,Goji OG,new,1000428700019,
186,gold-leaf,Gold Leaf,new,1000428732787,
187,grape-diamonds,Grape Diamonds,new,1000428765555,
188,grape-pie,Grape Pie,new,1000428798323,
189,grapeberry,Grapeberry,new,1000428831091,
190,guava-gelato,Guava Gelato,new,1000428863859,
191,hawaiian-haze,Hawaiian Haze,new,1000428896627,
192,honey-banana,Honey Banana,new,1000428929395,
193,ice-cream-man,Ice Cream Man,new,1000428962163,
194,italian-ice,Italian Ice,new,1000428994931,
195,jungle-juice,Jungle Juice,new,1000429027699,
196,kush-cake,Kush Cake,new,1000429060467,
197,lemon-gelato,Lemon Gelato,new,1000429093235,
198,lemon-runtz,Lemon Runtz,new,1000429126003,
199,mango-tango,Mango Tango,new,1000429158771,
200,papaya-punch,Papaya Punch,new,1000429191539,
